"No.","Time","Source","Destination","Protocol","Length","Info"
"30","4.205980","192.168.1.6","142.250.193.174","TCP","66","20582  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"31","4.214765","142.250.193.174","192.168.1.6","TCP","66","443  >  20582 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"32","4.214960","192.168.1.6","142.250.193.174","TCP","54","20582  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"33","4.216910","192.168.1.6","142.250.193.174","TCP","1466","20582  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1412 [TCP PDU reassembled in 34]"
"34","4.216910","192.168.1.6","142.250.193.174","TLSv1.3","463","Client Hello (SNI=play.google.com)"
"35","4.221608","192.168.1.6","142.250.193.174","QUIC","79","Handshake, DCID=f033300d7f58ed49"
"36","4.224902","142.250.193.174","192.168.1.6","TCP","54","443  >  20582 [ACK] Seq=1 Ack=1413 Win=68608 Len=0"
"37","4.224902","142.250.193.174","192.168.1.6","TCP","54","443  >  20582 [ACK] Seq=1 Ack=1822 Win=71424 Len=0"
"38","4.232778","142.250.193.174","192.168.1.6","QUIC","1292","Handshake, SCID=f033300d7f58ed49"
"39","4.232778","142.250.193.174","192.168.1.6","QUIC","1292","Handshake, SCID=f033300d7f58ed49"
"40","4.232778","142.250.193.174","192.168.1.6","QUIC","1292","Handshake, SCID=f033300d7f58ed49"
"41","4.233596","192.168.1.6","142.250.193.174","QUIC","81","Handshake, DCID=f033300d7f58ed49"
"42","4.234222","142.250.193.174","192.168.1.6","QUIC","716","Protected Payload (KP0)"
"43","4.234222","142.250.193.174","192.168.1.6","QUIC","83","Handshake, SCID=f033300d7f58ed49"
"44","4.236972","192.168.1.6","142.250.193.174","QUIC","208","Protected Payload (KP0), DCID=f033300d7f58ed49"
"45","4.237698","192.168.1.6","142.250.193.174","QUIC","1288","Protected Payload (KP0), DCID=f033300d7f58ed49"
"46","4.237840","192.168.1.6","142.250.193.174","QUIC","1292","Protected Payload (KP0), DCID=f033300d7f58ed49"
"47","4.237927","192.168.1.6","142.250.193.174","QUIC","340","Protected Payload (KP0), DCID=f033300d7f58ed49"
"48","4.258765","192.168.1.6","142.250.193.174","QUIC","196","Protected Payload (KP0), DCID=f033300d7f58ed49"
"49","4.313277","192.168.1.6","142.250.193.174","QUIC","1292","Protected Payload (KP0), DCID=f033300d7f58ed49"
"50","4.314356","142.250.193.174","192.168.1.6","QUIC","672","Protected Payload (KP0)"
"51","4.314356","142.250.193.174","192.168.1.6","QUIC","179","Protected Payload (KP0)"
"52","4.314574","142.250.193.174","192.168.1.6","QUIC","69","Protected Payload (KP0)"
"53","4.314574","142.250.193.174","192.168.1.6","QUIC","65","Protected Payload (KP0)"
"54","4.314574","142.250.193.174","192.168.1.6","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"55","4.314574","142.250.193.174","192.168.1.6","TCP","1466","443  >  20582 [ACK] Seq=1413 Ack=1822 Win=71424 Len=1412 [TCP PDU reassembled in 59]"
"56","4.314574","142.250.193.174","192.168.1.6","TCP","1466","443  >  20582 [PSH, ACK] Seq=2825 Ack=1822 Win=71424 Len=1412 [TCP PDU reassembled in 59]"
"57","4.314574","142.250.193.174","192.168.1.6","TCP","1466","443  >  20582 [ACK] Seq=4237 Ack=1822 Win=71424 Len=1412 [TCP PDU reassembled in 59]"
"58","4.314574","142.250.193.174","192.168.1.6","TCP","1466","443  >  20582 [ACK] Seq=5649 Ack=1822 Win=71424 Len=1412 [TCP PDU reassembled in 59]"
"59","4.314574","142.250.193.174","192.168.1.6","TLSv1.3","665","Application Data"
"60","4.314574","142.250.193.174","192.168.1.6","QUIC","67","Protected Payload (KP0)"
"61","4.314574","142.250.193.174","192.168.1.6","TCP","665","[TCP Retransmission] 443  >  20582 [PSH, ACK] Seq=7061 Ack=1822 Win=71424 Len=611 [TCP PDU reassembled in 59]"
"62","4.315074","142.250.193.174","192.168.1.6","QUIC","1292","Protected Payload (KP0)"
"63","4.315094","192.168.1.6","142.250.193.174","TCP","54","20582  >  443 [ACK] Seq=1822 Ack=2825 Win=131072 Len=0"
"64","4.315199","192.168.1.6","142.250.193.174","TCP","54","20582  >  443 [ACK] Seq=1822 Ack=5649 Win=131072 Len=0"
"65","4.315346","192.168.1.6","142.250.193.174","TCP","54","20582  >  443 [ACK] Seq=1822 Ack=7672 Win=131072 Len=0"
"66","4.315440","192.168.1.6","142.250.193.174","TCP","66","[TCP Dup ACK 65#1] 20582  >  443 [ACK] Seq=1822 Ack=7672 Win=131072 Len=0 SLE=7061 SRE=7672"
"67","4.318600","192.168.1.6","142.250.193.174","TLSv1.3","118","Change Cipher Spec, Application Data"
"68","4.319006","192.168.1.6","142.250.193.174","QUIC","75","Protected Payload (KP0), DCID=f033300d7f58ed49"
"69","4.319147","192.168.1.6","142.250.193.174","QUIC","75","Protected Payload (KP0), DCID=f033300d7f58ed49"
"70","4.319306","192.168.1.6","142.250.193.174","QUIC","75","Protected Payload (KP0), DCID=f033300d7f58ed49"
"71","4.319473","192.168.1.6","142.250.193.174","QUIC","77","Protected Payload (KP0), DCID=f033300d7f58ed49"
"72","4.322789","142.250.193.174","192.168.1.6","QUIC","69","Protected Payload (KP0)"
"73","4.325642","142.250.193.174","192.168.1.6","TLSv1.3","670","Application Data, Application Data"
"74","4.375217","192.168.1.6","142.250.193.174","TCP","54","20582  >  443 [ACK] Seq=1886 Ack=8288 Win=130560 Len=0"
"75","4.376322","142.250.193.174","192.168.1.6","QUIC","603","Protected Payload (KP0)"
"76","4.376322","142.250.193.174","192.168.1.6","QUIC","139","Protected Payload (KP0)"
"77","4.377230","192.168.1.6","142.250.193.174","QUIC","81","Protected Payload (KP0), DCID=f033300d7f58ed49"
"78","4.377449","192.168.1.6","142.250.193.174","QUIC","77","Protected Payload (KP0), DCID=f033300d7f58ed49"
"79","4.381888","192.168.1.6","192.168.1.1","TCP","66","20583  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"80","4.382287","192.168.1.6","192.168.1.1","TCP","66","20584  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"81","4.384533","192.168.1.1","192.168.1.6","TCP","66","53  >  20583 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
"82","4.384533","192.168.1.1","192.168.1.6","TCP","66","53  >  20584 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
"83","4.384672","192.168.1.6","192.168.1.1","TCP","54","20583  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"84","4.384754","192.168.1.6","192.168.1.1","TCP","54","20584  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"85","4.384887","192.168.1.6","192.168.1.1","TCP","56","20584  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP PDU reassembled in 86]"
"86","4.385006","192.168.1.6","192.168.1.1","DNS","92","Standard query 0x0313 HTTPS beacons.gcp.gvt2.com"
"87","4.385099","192.168.1.6","192.168.1.1","TCP","56","20583  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP PDU reassembled in 88]"
"88","4.385175","192.168.1.6","192.168.1.1","DNS","92","Standard query 0x29f8 A beacons.gcp.gvt2.com"
"89","4.389332","192.168.1.1","192.168.1.6","TCP","54","53  >  20584 [ACK] Seq=1 Ack=3 Win=29216 Len=0"
"90","4.389332","192.168.1.1","192.168.1.6","TCP","54","53  >  20584 [ACK] Seq=1 Ack=41 Win=29216 Len=0"
"91","4.389403","192.168.1.1","192.168.1.6","TCP","54","53  >  20583 [ACK] Seq=1 Ack=3 Win=29216 Len=0"
"92","4.389403","192.168.1.1","192.168.1.6","TCP","54","53  >  20583 [ACK] Seq=1 Ack=41 Win=29216 Len=0"
"93","4.498975","192.168.1.6","142.250.193.174","QUIC","72","Protected Payload (KP0), DCID=f033300d7f58ed49"
"94","4.500104","192.168.1.1","192.168.1.6","TCP","55","53  >  20584 [PSH, ACK] Seq=1 Ack=41 Win=29216 Len=1 [TCP PDU reassembled in 101]"
"95","4.500104","142.250.193.174","192.168.1.6","QUIC","66","Protected Payload (KP0)"
"96","4.500256","192.168.1.1","192.168.1.6","TCP","55","53  >  20583 [PSH, ACK] Seq=1 Ack=41 Win=29216 Len=1 [TCP PDU reassembled in 102]"
"97","4.545723","192.168.1.6","192.168.1.1","TCP","54","20584  >  53 [ACK] Seq=41 Ack=2 Win=131328 Len=0"
"98","4.545803","192.168.1.6","192.168.1.1","TCP","54","20583  >  53 [ACK] Seq=41 Ack=2 Win=131328 Len=0"
"99","4.647465","192.168.1.6","142.250.193.174","QUIC","71","Protected Payload (KP0), DCID=f033300d7f58ed49"
"100","4.648586","142.250.193.174","192.168.1.6","QUIC","67","Protected Payload (KP0)"
"101","4.648586","192.168.1.1","192.168.1.6","DNS","206","Standard query response 0x0313 HTTPS beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com CNAME gce-beacons.gcp.gvt2.com SOA ns1.google.com"
"102","4.648855","192.168.1.1","192.168.1.6","DNS","139","Standard query response 0x29f8 A beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com A 172.217.163.163"
"103","4.649025","192.168.1.6","192.168.1.1","TCP","54","20583  >  53 [FIN, ACK] Seq=41 Ack=87 Win=131072 Len=0"
"104","4.649459","192.168.1.6","192.168.1.1","TCP","54","20584  >  53 [FIN, ACK] Seq=41 Ack=154 Win=131072 Len=0"
"105","4.650773","192.168.1.6","172.217.163.163","QUIC","1292","Initial, DCID=4cd2446e7d1443fd, PKN: 1, CRYPTO"
"106","4.650786","192.168.1.1","192.168.1.6","TCP","54","53  >  20583 [FIN, ACK] Seq=87 Ack=42 Win=29216 Len=0"
"107","4.650825","192.168.1.6","192.168.1.1","TCP","54","20583  >  53 [ACK] Seq=42 Ack=88 Win=131072 Len=0"
"108","4.650841","192.168.1.6","172.217.163.163","QUIC","1292","Initial, DCID=4cd2446e7d1443fd, PKN: 2, CRYPTO"
"109","4.650872","192.168.1.6","172.217.163.163","QUIC","1292","Initial, DCID=4cd2446e7d1443fd, PKN: 3, PADDING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, PADDING, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, PADDING, PING, PADDING"
"110","4.651270","192.168.1.6","172.217.163.163","QUIC","122","0-RTT, DCID=4cd2446e7d1443fd"
"111","4.652442","192.168.1.1","192.168.1.6","TCP","54","53  >  20584 [FIN, ACK] Seq=154 Ack=42 Win=29216 Len=0"
"112","4.652486","192.168.1.6","192.168.1.1","TCP","54","20584  >  53 [ACK] Seq=42 Ack=155 Win=131072 Len=0"
"113","4.667949","142.250.193.174","192.168.1.6","QUIC","69","Protected Payload (KP0)"
"114","4.667949","172.217.163.163","192.168.1.6","QUIC","1292","Initial, SCID=ecd2446e7d1443fd, PKN: 1, ACK, PADDING"
"115","4.668199","172.217.163.163","192.168.1.6","QUIC","1292","Initial, SCID=ecd2446e7d1443fd, PKN: 2, ACK, PADDING"
"116","4.674798","192.168.1.6","172.217.163.163","QUIC","1292","Initial, DCID=ecd2446e7d1443fd, PKN: 6, PADDING, PING, PADDING"
"117","4.682543","172.217.163.163","192.168.1.6","QUIC","1292","Initial, SCID=ecd2446e7d1443fd, PKN: 3, ACK, PADDING"
"118","4.732794","192.168.1.6","172.217.163.163","QUIC","1292","Initial, DCID=ecd2446e7d1443fd, PKN: 8, PADDING, PING, PADDING"
"119","4.734602","172.217.163.163","192.168.1.6","QUIC","1292","Initial, SCID=ecd2446e7d1443fd, PKN: 4, CRYPTO, PADDING"
"120","4.734602","172.217.163.163","192.168.1.6","QUIC","339","Protected Payload (KP0)"
"121","4.734602","172.217.163.163","192.168.1.6","QUIC","995","Protected Payload (KP0)"
"122","4.734602","172.217.163.163","192.168.1.6","QUIC","66","Protected Payload (KP0)"
"123","4.734602","172.217.163.163","192.168.1.6","QUIC","66","Protected Payload (KP0)"
"124","4.736621","192.168.1.6","172.217.163.163","QUIC","1292","Handshake, DCID=ecd2446e7d1443fd"
"125","4.737034","192.168.1.6","172.217.163.163","QUIC","73","Protected Payload (KP0), DCID=ecd2446e7d1443fd"
"126","4.737916","192.168.1.6","172.217.163.163","QUIC","968","Protected Payload (KP0), DCID=ecd2446e7d1443fd"
"127","4.794304","192.168.1.6","172.217.163.163","QUIC","1036","Protected Payload (KP0), DCID=ecd2446e7d1443fd"
"128","4.798424","172.217.163.163","192.168.1.6","QUIC","1292","Initial, SCID=ecd2446e7d1443fd, PKN: 10, ACK, CRYPTO, PADDING"
"129","4.798424","172.217.163.163","192.168.1.6","QUIC","162","Protected Payload (KP0)"
"130","4.798780","172.217.163.163","192.168.1.6","QUIC","71","Protected Payload (KP0)"
"131","4.799031","192.168.1.6","172.217.163.163","QUIC","76","Protected Payload (KP0), DCID=ecd2446e7d1443fd"
"132","4.799198","192.168.1.6","172.217.163.163","QUIC","75","Protected Payload (KP0), DCID=ecd2446e7d1443fd"
"133","4.801571","172.217.163.163","192.168.1.6","QUIC","69","Protected Payload (KP0)"
"134","4.997931","192.168.1.6","20.212.88.117","TCP","55","19633  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP PDU reassembled in 1184]"
"135","5.000217","172.217.163.163","192.168.1.6","QUIC","918","Protected Payload (KP0)"
"136","5.000217","172.217.163.163","192.168.1.6","QUIC","63","Protected Payload (KP0)"
"137","5.001619","192.168.1.6","172.217.163.163","QUIC","79","Protected Payload (KP0), DCID=ecd2446e7d1443fd"
"138","5.028314","192.168.1.6","172.217.163.163","QUIC","76","Protected Payload (KP0), DCID=ecd2446e7d1443fd"
"139","5.041470","172.217.163.163","192.168.1.6","QUIC","66","Protected Payload (KP0)"
"140","5.041470","20.212.88.117","192.168.1.6","TCP","66","443  >  19633 [ACK] Seq=1 Ack=2 Win=251 Len=0 SLE=1 SRE=2"
"141","5.294355","192.168.1.6","142.250.193.174","QUIC","1288","Protected Payload (KP0), DCID=f033300d7f58ed49"
"142","5.294449","192.168.1.6","142.250.193.174","QUIC","1292","Protected Payload (KP0), DCID=f033300d7f58ed49"
"143","5.294481","192.168.1.6","142.250.193.174","QUIC","1292","Protected Payload (KP0), DCID=f033300d7f58ed49"
"144","5.294510","192.168.1.6","142.250.193.174","QUIC","541","Protected Payload (KP0), DCID=f033300d7f58ed49"
"145","5.302824","142.250.193.174","192.168.1.6","QUIC","73","Protected Payload (KP0)"
"146","5.302824","142.250.193.174","192.168.1.6","QUIC","69","Protected Payload (KP0)"
"147","5.302824","142.250.193.174","192.168.1.6","QUIC","71","Protected Payload (KP0)"
"148","5.302824","142.250.193.174","192.168.1.6","QUIC","69","Protected Payload (KP0)"
"149","5.328928","192.168.1.6","142.250.193.174","QUIC","74","Protected Payload (KP0), DCID=f033300d7f58ed49"
"150","5.507066","192.168.1.6","142.250.193.174","QUIC","71","Protected Payload (KP0), DCID=f033300d7f58ed49"
"151","5.508787","142.250.193.174","192.168.1.6","QUIC","433","Protected Payload (KP0)"
"152","5.508787","142.250.193.174","192.168.1.6","QUIC","285","Protected Payload (KP0)"
"153","5.510206","192.168.1.6","142.250.193.174","QUIC","77","Protected Payload (KP0), DCID=f033300d7f58ed49"
"154","5.535843","142.250.193.174","192.168.1.6","QUIC","433","Protected Payload (KP0)"
"155","5.535843","142.250.193.174","192.168.1.6","QUIC","65","Protected Payload (KP0)"
"156","5.536239","192.168.1.6","142.250.193.174","QUIC","75","Protected Payload (KP0), DCID=f033300d7f58ed49"
"157","6.234621","192.168.1.6","192.168.1.1","TCP","66","20585  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"158","6.234962","192.168.1.6","192.168.1.1","TCP","66","20586  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"159","6.237090","192.168.1.1","192.168.1.6","TCP","66","53  >  20585 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
"160","6.237090","192.168.1.1","192.168.1.6","TCP","66","53  >  20586 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
"161","6.237193","192.168.1.6","192.168.1.1","TCP","54","20585  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"162","6.237242","192.168.1.6","192.168.1.1","TCP","54","20586  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"163","6.237392","192.168.1.6","192.168.1.1","TCP","56","20586  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP PDU reassembled in 164]"
"164","6.237448","192.168.1.6","192.168.1.1","DNS","89","Standard query 0xf78a HTTPS fonts.gstatic.com"
"165","6.237524","192.168.1.6","192.168.1.1","TCP","56","20585  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP PDU reassembled in 166]"
"166","6.237571","192.168.1.6","192.168.1.1","DNS","89","Standard query 0x8e85 A fonts.gstatic.com"
"167","6.240267","192.168.1.1","192.168.1.6","TCP","54","53  >  20586 [ACK] Seq=1 Ack=3 Win=29216 Len=0"
"168","6.240267","192.168.1.1","192.168.1.6","TCP","54","53  >  20586 [ACK] Seq=1 Ack=38 Win=29216 Len=0"
"169","6.240267","192.168.1.1","192.168.1.6","TCP","54","53  >  20585 [ACK] Seq=1 Ack=3 Win=29216 Len=0"
"170","6.240267","192.168.1.1","192.168.1.6","TCP","54","53  >  20585 [ACK] Seq=1 Ack=38 Win=29216 Len=0"
"171","6.256801","192.168.1.6","142.250.192.4","UDP","1288","57976  >  443 Len=1246"
"172","6.257024","192.168.1.6","142.250.192.4","UDP","1056","57976  >  443 Len=1014"
"173","6.257200","192.168.1.1","192.168.1.6","TCP","55","53  >  20586 [PSH, ACK] Seq=1 Ack=38 Win=29216 Len=1 [TCP PDU reassembled in 204]"
"174","6.258285","192.168.1.1","192.168.1.6","TCP","55","53  >  20585 [PSH, ACK] Seq=1 Ack=38 Win=29216 Len=1 [TCP PDU reassembled in 205]"
"175","6.263896","192.168.1.6","140.82.112.25","TLSv1.2","242","Application Data"
"176","6.282325","142.250.192.4","192.168.1.6","UDP","67","443  >  57976 Len=25"
"177","6.283648","142.250.192.4","192.168.1.6","UDP","71","443  >  57976 Len=29"
"178","6.294565","192.168.1.6","20.207.73.85","TCP","66","20587  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"179","6.298270","192.168.1.6","192.168.1.1","TCP","66","20588  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"180","6.298517","192.168.1.6","192.168.1.1","TCP","66","20589  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"181","6.300945","192.168.1.6","142.250.192.4","UDP","794","57976  >  443 Len=752"
"182","6.301961","192.168.1.1","192.168.1.6","TCP","66","53  >  20588 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
"183","6.301961","192.168.1.1","192.168.1.6","TCP","66","53  >  20589 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
"184","6.302069","192.168.1.6","192.168.1.1","TCP","54","20588  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"185","6.302116","192.168.1.6","192.168.1.1","TCP","54","20589  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"186","6.302224","192.168.1.6","192.168.1.1","TCP","56","20589  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP PDU reassembled in 187]"
"187","6.302286","192.168.1.6","192.168.1.1","DNS","96","Standard query 0x2857 HTTPS www.googleadservices.com"
"188","6.302592","192.168.1.6","192.168.1.1","TCP","56","20588  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP PDU reassembled in 189]"
"189","6.302634","192.168.1.6","192.168.1.1","DNS","96","Standard query 0x6c98 A www.googleadservices.com"
"190","6.304885","192.168.1.6","192.168.1.1","TCP","54","20586  >  53 [ACK] Seq=38 Ack=2 Win=131328 Len=0"
"191","6.304972","192.168.1.6","192.168.1.1","TCP","54","20585  >  53 [ACK] Seq=38 Ack=2 Win=131328 Len=0"
"192","6.305150","192.168.1.1","192.168.1.6","TCP","54","53  >  20589 [ACK] Seq=1 Ack=3 Win=29216 Len=0"
"193","6.305150","192.168.1.1","192.168.1.6","TCP","54","53  >  20589 [ACK] Seq=1 Ack=45 Win=29216 Len=0"
"194","6.305208","192.168.1.1","192.168.1.6","TCP","54","53  >  20588 [ACK] Seq=1 Ack=3 Win=29216 Len=0"
"195","6.305208","192.168.1.1","192.168.1.6","TCP","54","53  >  20588 [ACK] Seq=1 Ack=45 Win=29216 Len=0"
"196","6.321356","192.168.1.6","140.82.112.25","TLSv1.2","84","Application Data"
"197","6.321548","192.168.1.6","140.82.112.25","TCP","54","20557  >  443 [FIN, ACK] Seq=219 Ack=1 Win=510 Len=0"
"198","6.325030","192.168.1.1","192.168.1.6","TCP","55","53  >  20589 [PSH, ACK] Seq=1 Ack=45 Win=29216 Len=1 [TCP PDU reassembled in 233]"
"199","6.325030","192.168.1.1","192.168.1.6","TCP","55","53  >  20588 [PSH, ACK] Seq=1 Ack=45 Win=29216 Len=1 [TCP PDU reassembled in 234]"
"200","6.326766","20.207.73.85","192.168.1.6","TCP","66","443  >  20587 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024"
"201","6.326965","192.168.1.6","20.207.73.85","TCP","54","20587  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"202","6.328104","192.168.1.6","20.207.73.85","TCP","1490","20587  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=1436 [TCP PDU reassembled in 203]"
"203","6.328104","192.168.1.6","20.207.73.85","TLSv1.3","485","Client Hello (SNI=api.github.com)"
"204","6.329700","192.168.1.1","192.168.1.6","DNS","147","Standard query response 0xf78a HTTPS fonts.gstatic.com SOA ns1.google.com"
"205","6.329879","192.168.1.1","192.168.1.6","DNS","106","Standard query response 0x8e85 A fonts.gstatic.com A 142.250.195.131"
"206","6.330108","192.168.1.6","192.168.1.1","TCP","54","20586  >  53 [FIN, ACK] Seq=38 Ack=95 Win=131072 Len=0"
"207","6.330262","192.168.1.6","192.168.1.1","TCP","54","20585  >  53 [FIN, ACK] Seq=38 Ack=54 Win=131328 Len=0"
"208","6.331978","192.168.1.1","192.168.1.6","TCP","54","53  >  20586 [FIN, ACK] Seq=95 Ack=39 Win=29216 Len=0"
"209","6.332035","192.168.1.6","192.168.1.1","TCP","54","20586  >  53 [ACK] Seq=39 Ack=96 Win=131072 Len=0"
"210","6.332649","192.168.1.6","142.250.182.67","QUIC","1292","Initial, DCID=22beabb701c22c7b, PKN: 1, CRYPTO"
"211","6.332733","192.168.1.6","142.250.182.67","QUIC","1292","Initial, DCID=22beabb701c22c7b, PKN: 2, PADDING, PING, CRYPTO, PING"
"212","6.332967","192.168.1.6","142.250.182.67","QUIC","118","0-RTT, DCID=22beabb701c22c7b"
"213","6.333968","192.168.1.6","142.250.182.67","QUIC","1288","0-RTT, DCID=22beabb701c22c7b"
"214","6.334051","192.168.1.6","142.250.182.67","QUIC","940","0-RTT, DCID=22beabb701c22c7b"
"215","6.335279","192.168.1.1","192.168.1.6","TCP","54","53  >  20585 [FIN, ACK] Seq=54 Ack=39 Win=29216 Len=0"
